date,ticker,expiry,option_type,strike,underlying_price,implied_volatility,delta,bid,ask,volume,open_interest
2025-01-02,AAPL,2025-01-27,C,168.41,150.37,0.230235,0.1,1.36,1.41,459,669
2025-01-02,AAPL,2025-01-27,C,159.39,150.37,0.234735,0.25,1.39,1.44,318,484
2025-01-02,AAPL,2025-01-27,C,150.37,150.37,0.249735,0.5,1.47,1.53,290,431
2025-01-02,AAPL,2025-01-27,P,150.37,150.37,0.249735,-0.5,1.47,1.53,361,695
2025-01-02,AAPL,2025-01-27,P,141.34,150.37,0.264735,-0.25,1.56,1.62,85,4006
2025-01-02,AAPL,2025-01-27,P,132.32,150.37,0.270735,-0.1,1.6,1.65,223,3915
2025-01-02,AAPL,2025-02-03,C,168.41,150.37,0.233035,0.1,1.37,1.43,465,4730
2025-01-02,AAPL,2025-02-03,C,159.39,150.37,0.237535,0.25,1.41,1.45,361,2954
2025-01-02,AAPL,2025-02-03,C,150.37,150.37,0.252535,0.5,1.5,1.54,260,3084
2025-01-02,AAPL,2025-02-03,P,150.37,150.37,0.252535,-0.5,1.5,1.54,65,2829
2025-01-02,AAPL,2025-02-03,P,141.34,150.37,0.267535,-0.25,1.58,1.63,238,2335
2025-01-02,AAPL,2025-02-03,P,132.32,150.37,0.273535,-0.1,1.62,1.67,364,3821
2025-01-02,AAPL,2025-03-03,C,168.41,150.37,0.244235,0.1,1.44,1.5,259,2465
2025-01-02,AAPL,2025-03-03,C,159.39,150.37,0.248735,0.25,1.47,1.52,70,4656
2025-01-02,AAPL,2025-03-03,C,150.37,150.37,0.263735,0.5,1.57,1.61,393,594
2025-01-02,AAPL,2025-03-03,P,150.37,150.37,0.263735,-0.5,1.57,1.61,244,3292
2025-01-02,AAPL,2025-03-03,P,141.34,150.37,0.278735,-0.25,1.65,1.7,460,3873
2025-01-02,AAPL,2025-03-03,P,132.32,150.37,0.284735,-0.1,1.69,1.74,365,1674
2025-01-03,AAPL,2025-01-28,C,167.01,149.12,0.224756,0.1,1.31,1.37,317,1359
2025-01-03,AAPL,2025-01-28,C,158.06,149.12,0.228619,0.25,1.34,1.39,266,1579
2025-01-03,AAPL,2025-01-28,C,149.12,149.12,0.241493,0.5,1.42,1.46,480,747
2025-01-03,AAPL,2025-01-28,P,149.12,149.12,0.241493,-0.5,1.41,1.47,277,2195
2025-01-03,AAPL,2025-01-28,P,140.17,149.12,0.254368,-0.25,1.49,1.54,64,3651
2025-01-03,AAPL,2025-01-28,P,131.22,149.12,0.259517,-0.1,1.52,1.57,474,4681
2025-01-03,AAPL,2025-02-04,C,167.01,149.12,0.227556,0.1,1.33,1.39,306,2402
