date,ticker,skew,skew_definition,target_tenor_days,call_iv,put_iv,atm_iv,call_delta,put_delta,call_strike,put_strike,call_expiry,put_expiry,call_days_to_expiry,put_days_to_expiry
2025-01-02,UBER,-0.002124999999999988,put_minus_call,30,0.391274,0.389149,,0.234328,-0.242871,69.0,59.0,2025-01-31,2025-01-31,29,29
2025-01-03,UBER,0.012650999999999968,put_minus_call,30,0.375607,0.388258,,0.246599,-0.269321,70.0,61.0,2025-01-31,2025-01-31,28,28
2025-01-06,UBER,-0.003485999999999989,put_minus_call,30,0.428292,0.424806,,0.254337,-0.265732,73.0,62.0,2025-02-07,2025-02-07,32,32
2025-01-07,UBER,0.0005310000000000037,put_minus_call,30,0.443104,0.443635,,0.251485,-0.236827,73.0,61.0,2025-02-07,2025-02-07,31,31
2025-01-08,UBER,-0.006103000000000025,put_minus_call,30,0.422086,0.415983,,0.251837,-0.231921,71.0,60.0,2025-02-07,2025-02-07,30,30
2025-01-10,UBER,-0.0024220000000000352,put_minus_call,30,0.446392,0.44397,,0.269013,-0.234464,72.0,61.0,2025-02-07,2025-02-07,28,28
2025-01-13,UBER,0.07155,put_minus_call,30,0.405948,0.477498,,0.251705,-0.26784,72.0,61.0,2025-02-14,2025-02-14,32,32
2025-01-14,UBER,-0.025895999999999975,put_minus_call,30,0.491376,0.46548,,0.263833,-0.253008,72.0,60.0,2025-02-14,2025-02-14,31,31
2025-01-15,UBER,0.006595999999999991,put_minus_call,30,0.468984,0.47558,,0.260879,-0.253501,74.0,62.0,2025-02-14,2025-02-14,30,30
2025-01-16,UBER,-0.002684999999999993,put_minus_call,30,0.459095,0.45641,,0.241909,-0.265585,76.0,64.0,2025-02-14,2025-02-14,29,29
2025-01-17,UBER,0.01109300000000002,put_minus_call,30,0.45679,0.467883,,0.250856,-0.237728,74.0,62.0,2025-02-14,2025-02-14,28,28
2025-01-21,UBER,-0.004852999999999996,put_minus_call,30,0.440393,0.43554,,0.24249,-0.254178,75.0,63.0,2025-02-21,2025-02-21,31,31
2025-01-22,UBER,-0.007913000000000003,put_minus_call,30,0.445152,0.437239,,0.243256,-0.249542,75.0,63.0,2025-02-21,2025-02-21,30,30
2025-01-23,UBER,-0.005155000000000021,put_minus_call,30,0.450516,0.445361,,0.259362,-0.232463,75.0,63.0,2025-02-21,2025-02-21,29,29
2025-01-24,UBER,-0.0024029999999999885,put_minus_call,30,0.444374,0.441971,,0.261308,-0.25853,75.0,64.0,2025-02-21,2025-02-21,28,28
2025-01-27,UBER,0.02194600000000002,put_minus_call,30,0.442891,0.464837,,0.245882,-0.236942,76.0,63.0,2025-02-28,2025-02-28,32,32
2025-01-28,UBER,-0.019378000000000006,put_minus_call,30,0.497264,0.477886,,0.248412,-0.262405,76.0,63.0,2025-02-28,2025-02-28,31,31
2025-01-29,UBER,-0.011415999999999982,put_minus_call,30,0.5084,0.496984,,0.249313,-0.251731,74.0,61.0,2025-02-28,2025-02-28,30,30
2025-01-30,UBER,0.02739600000000003,put_minus_call,30,0.488975,0.516371,,0.25085,-0.243401,74.0,61.0,2025-02-28,2025-02-28,29,29
2025-01-31,UBER,0.0028809999999999114,put_minus_call,30,0.502376,0.505257,,0.26236,-0.264701,74.0,62.0,2025-02-28,2025-02-28,28,28
2025-02-03,UBER,-0.032802,put_minus_call,30,0.58716,0.554358,,0.249537,-0.276259,77.0,62.0,2025-03-07,2025-03-07,32,32
2025-02-04,UBER,0.03202700000000003,put_minus_call,30,0.459912,0.491939,,0.22893,-0.244472,78.0,64.0,2025-03-07,2025-03-07,31,31
2025-02-05,UBER,-0.021577000000000013,put_minus_call,30,0.365162,0.343585,,0.242754,-0.25985,70.0,61.0,2025-03-07,2025-03-07,30,30
2025-02-06,UBER,-0.003459999999999963,put_minus_call,30,0.354452,0.350992,,0.229859,-0.250436,76.0,66.0,2025-03-07,2025-03-07,29,29
2025-02-07,UBER,-0.0035519999999999996,put_minus_call,30,0.367257,0.363705,,0.273314,-0.238503,80.0,70.0,2025-03-07,2025-03-07,28,28
2025-02-10,UBER,-0.004836000000000007,put_minus_call,30,0.374434,0.369598,,0.23647,-0.261334,86.0,74.0,2025-03-14,2025-03-14,32,32
2025-02-11,UBER,-0.053207000000000004,put_minus_call,30,0.376307,0.3231,,0.224063,-0.228871,84.0,72.0,2025-03-14,2025-03-14,31,31
2025-02-12,UBER,-0.011834000000000011,put_minus_call,30,0.360645,0.348811,,0.244612,-0.259602,86.0,75.0,2025-03-14,2025-03-14,30,30
2025-02-13,UBER,-0.010176999999999992,put_minus_call,30,0.353995,0.343818,,0.235984,-0.259201,87.0,76.0,2025-03-14,2025-03-14,29,29
2025-02-14,UBER,-0.003059000000000034,put_minus_call,30,0.332517,0.329458,,0.251369,-0.244095,85.0,75.0,2025-03-14,2025-03-14,28,28
2025-02-18,UBER,-0.007413000000000003,put_minus_call,30,0.353644,0.346231,,0.272001,-0.282256,87.5,77.5,2025-03-21,2025-03-21,31,31
2025-02-19,UBER,-0.008877999999999997,put_minus_call,30,0.342814,0.333936,,0.248636,-0.287097,87.5,77.5,2025-03-21,2025-03-21,30,30
2025-02-20,UBER,-0.01075100000000001,put_minus_call,30,0.344117,0.333366,,0.249089,-0.279911,87.5,77.5,2025-03-21,2025-03-21,29,29
2025-02-21,UBER,0.006404999999999994,put_minus_call,30,0.348887,0.355292,,0.245792,-0.276692,85.0,75.0,2025-03-21,2025-03-21,28,28
2025-02-24,UBER,-0.04066200000000003,put_minus_call,30,0.408322,0.36766,,0.277624,-0.223138,83.0,71.0,2025-03-28,2025-03-28,32,32
2025-02-25,UBER,0.04065000000000002,put_minus_call,30,0.361735,0.402385,,0.258746,-0.251686,81.0,70.0,2025-03-28,2025-03-28,31,31
2025-02-26,UBER,-0.00301499999999999,put_minus_call,30,0.382755,0.37974,,0.267449,-0.244429,82.0,71.0,2025-03-28,2025-03-28,30,30
2025-02-27,UBER,0.025220999999999993,put_minus_call,30,0.381781,0.407002,,0.233762,-0.236185,81.0,69.0,2025-03-28,2025-03-28,29,29
2025-02-28,UBER,0.019363999999999992,put_minus_call,30,0.370037,0.389401,,0.256147,-0.23775,82.0,71.0,2025-03-28,2025-03-28,28,28
2025-03-03,UBER,0.027815000000000034,put_minus_call,30,0.390856,0.418671,,0.261165,-0.241939,81.0,69.0,2025-04-04,2025-04-04,32,32
2025-03-04,UBER,0.02518999999999999,put_minus_call,30,0.395445,0.420635,,0.2567,-0.248616,82.0,70.0,2025-04-04,2025-04-04,31,31
2025-03-05,UBER,0.030369000000000035,put_minus_call,30,0.37631,0.406679,,0.25137,-0.23479,83.0,71.0,2025-04-04,2025-04-04,30,30
2025-03-06,UBER,0.037995,put_minus_call,30,0.403051,0.441046,,0.240182,-0.262798,82.0,70.0,2025-04-04,2025-04-04,29,29
2025-03-07,UBER,0.030638,put_minus_call,30,0.388147,0.418785,,0.24175,-0.241716,83.0,71.0,2025-04-04,2025-04-04,28,28
2025-03-10,UBER,0.040895000000000015,put_minus_call,30,0.438585,0.47948,,0.25954,-0.249281,80.0,67.0,2025-04-11,2025-04-11,32,32
2025-03-11,UBER,0.05246400000000001,put_minus_call,30,0.431022,0.483486,,0.239136,-0.249473,78.0,65.0,2025-04-11,2025-04-11,31,31
2025-03-12,UBER,-0.016903999999999975,put_minus_call,30,0.438884,0.42198,,0.263454,-0.23777,78.0,66.0,2025-04-11,2025-04-11,30,30
2025-03-13,UBER,0.05757399999999996,put_minus_call,30,0.429696,0.48727,,0.256748,-0.24566,76.0,64.0,2025-04-11,2025-04-11,29,29
2025-03-14,UBER,0.052371999999999974,put_minus_call,30,0.392944,0.445316,,0.236636,-0.27037,78.0,67.0,2025-04-11,2025-04-11,28,28
2025-03-17,UBER,0.045796,put_minus_call,30,0.374928,0.420724,,0.216975,-0.243048,80.0,67.5,2025-04-17,2025-04-17,31,31
2025-03-18,UBER,0.03823199999999999,put_minus_call,30,0.390225,0.428457,,0.265944,-0.28742,77.5,67.5,2025-04-17,2025-04-17,30,30
2025-03-19,UBER,0.04544699999999996,put_minus_call,30,0.365422,0.410869,,0.207778,-0.225386,80.0,67.5,2025-04-17,2025-04-17,29,29
2025-03-20,UBER,0.03525700000000004,put_minus_call,30,0.361521,0.396778,,0.258705,-0.264383,80.0,70.0,2025-04-17,2025-04-17,28,28
2025-03-21,UBER,0.04302499999999998,put_minus_call,30,0.345577,0.388602,,0.207955,-0.200943,82.5,70.0,2025-04-17,2025-04-17,27,27
2025-03-24,UBER,-0.0038790000000000213,put_minus_call,30,0.331216,0.327337,,0.268367,-0.238918,82.0,72.0,2025-04-25,2025-04-25,32,32
2025-03-25,UBER,0.03134099999999995,put_minus_call,30,0.33206,0.363401,,0.26629,-0.249058,81.0,71.0,2025-04-25,2025-04-25,31,31
2025-03-26,UBER,0.035212999999999994,put_minus_call,30,0.339447,0.37466,,0.245142,-0.266808,80.0,70.0,2025-04-25,2025-04-25,30,30
2025-03-27,UBER,0.038241000000000025,put_minus_call,30,0.343539,0.38178,,0.23294,-0.240194,81.0,70.0,2025-04-25,2025-04-25,29,29
2025-03-28,UBER,0.04913899999999999,put_minus_call,30,0.363361,0.4125,,0.270987,-0.250611,78.0,68.0,2025-04-25,2025-04-25,28,28
2025-03-31,UBER,0.06433099999999997,put_minus_call,30,0.400197,0.464528,,0.242921,-0.24118,80.0,67.0,2025-05-02,2025-05-02,32,32
2025-04-01,UBER,0.04125899999999999,put_minus_call,30,0.406877,0.448136,,0.246425,-0.264422,80.0,68.0,2025-05-02,2025-05-02,31,31
2025-04-02,UBER,0.05624499999999999,put_minus_call,30,0.390023,0.446268,,0.254766,-0.245794,81.0,69.0,2025-05-02,2025-05-02,30,30
2025-04-03,UBER,0.07882300000000003,put_minus_call,30,0.45901,0.537833,,0.250723,-0.252655,77.0,64.0,2025-05-02,2025-05-02,29,29
2025-04-04,UBER,-0.022731999999999974,put_minus_call,30,0.681268,0.658536,,0.272312,-0.272323,74.0,59.0,2025-05-02,2025-05-02,28,28
2025-04-07,UBER,0.04452099999999992,put_minus_call,30,0.591165,0.635686,,0.253734,-0.250904,75.0,59.0,2025-05-09,2025-05-09,32,32
2025-04-08,UBER,0.12778599999999996,put_minus_call,30,0.58718,0.714966,,0.248255,-0.257511,74.0,58.0,2025-05-09,2025-05-09,31,31
2025-04-09,UBER,0.09930799999999995,put_minus_call,30,0.478843,0.578151,,0.243594,-0.247296,81.0,66.0,2025-05-09,2025-05-09,30,30
2025-04-10,UBER,0.1804469999999999,put_minus_call,30,0.519499,0.699946,,0.24963,-0.243431,79.0,63.0,2025-05-09,2025-05-09,29,29
2025-04-11,UBER,0.13454,put_minus_call,30,0.535314,0.669854,,0.251115,-0.248046,81.0,65.0,2025-05-09,2025-05-09,28,28
2025-04-14,UBER,0.10275200000000001,put_minus_call,30,0.465667,0.568419,,0.21766,-0.28193,82.5,67.5,2025-05-16,2025-05-16,32,32
2025-04-15,UBER,0.08829999999999993,put_minus_call,30,0.461083,0.549383,,0.238309,-0.249482,82.5,67.5,2025-05-16,2025-05-16,31,31
